bus.119.gen,bus.4.gen,bus.6.gen,bus.10.gen,bus.12.gen,bus.15.gen,bus.18.gen,bus.19.gen,bus.24.gen,bus.25.gen,bus.26.gen,bus.120.gen,bus.31.gen,bus.32.gen,bus.46.gen,bus.69.gen,bus.99.gen,bus.116.gen
74.2511,57.7723,12.5179,41.1365,60.8285,25.2624,41.0137,42.9687,71.2544,77.8739,71.1267,81.815,44.9942,25.1717,80.267,69.0525,33.736,36.4885
75.6713,58.6928,13.6618,42.5383,57.4361,26.1388,46.8224,39.7305,71.2258,77.5635,67.05,81.3253,47.5962,26.3198,75.3836,68.8951,31.7467,39.2778
70.3366,60.2356,16.3632,41.9913,57.7504,25.8871,45.3961,39.9495,68.9051,78.5143,70.4149,85.1778,44.6312,27.7133,77.3378,66.986,29.7573,39.2735
71.8744,59.6945,16.6262,41.8606,57.6243,26.264,48.4848,39.8164,71.3039,79.0304,68.9406,82.2582,47.738,27.9633,75.0504,66.3067,27.768,37.5615
76.6752,61.3333,12.8423,45.6207,57.2338,23.1427,41.5487,41.484,72.1948,79.2808,70.5379,83.2578,48.8385,30.4327,76.7267,65.5658,28.24,36.2925
71.3885,59.121,15.3073,42.3369,64.8319,24.2501,43.8175,42.1452,66.9815,82.0715,73.6488,79.5341,45.7452,32.0832,75.9727,66.4086,28.712,41.9744
73.5198,58.1639,18.4141,40.5227,57.9132,22.071,45.2842,41.5775,72.5618,83.3314,76.2346,87.05,45.4603,30.7914,70.9466,66.8593,29.184,41.5267
75.4308,72.9126,16.9825,42.2499,57.4127,22.0051,44.7228,39.1945,75.339,83.0023,73.9061,78.045,46.7412,30.2616,73.3853,63.3511,30.3867,39.5758
73.1132,63.6742,18.0739,41.1049,67.1338,21.6138,43.9653,40.6071,66.8698,81.1614,73.9124,84.9987,45.2281,30.8133,77.6579,63.0726,31.5893,43.8078
73.2315,63.3989,17.7128,38.7828,64.8444,23.6132,45.014,39.5116,73.0544,84.4926,74.0428,86.6435,45.8041,30.8408,72.6442,61.7623,32.792,43.7039
74.6664,64.5812,15.6685,45.0948,65.1105,23.7443,45.8903,40.4932,72.6729,87.1735,70.7127,81.7511,45.518,30.4191,75.5351,63.0368,32.144,43.8619
77.3474,68.4742,16.3398,41.5969,56.4707,22.8326,46.6515,40.836,68.5076,83.2462,74.527,85.863,48.3685,31.1604,78.4511,69.1486,31.496,42.9412
85.194,65.0707,18.0684,41.1469,61.2521,15.4102,44.5103,39.2826,72.3218,82.8652,70.4053,88.9892,48.6733,35.7368,79.7002,72.1551,30.848,38.8133
79.1995,60.8576,17.0166,42.9187,64.485,23.0373,47.8454,42.6188,72.4011,84.8352,76.1751,84.296,45.3781,30.1467,75.1229,70.5057,31.5973,41.7282
77.2235,64.6698,20.7162,39.8498,66.7521,23.0443,45.4826,42.638,71.6786,84.7935,72.2397,84.6756,46.4639,32.4661,71.6313,71.4834,32.3467,41.7319
75.4801,68.0221,17.8633,42.3092,65.315,21.7362,44.3106,40.1158,74.5337,87.946,69.8101,88.6456,48.4922,33.1742,66.3082,70.2456,33.096,42.2053
79.094,64.674,24.9905,41.0037,64.4602,24.2225,44.0733,40.0782,77.8022,89.6763,69.099,92.4275,46.8573,31.8319,71.3493,67.4375,31.9253,40.4834
78.3477,65.4357,25.2584,41.1773,63.1447,24.4016,44.9224,42.763,75.5121,86.8972,77.2283,85.9717,49.2371,36.9709,76.1443,66.6563,30.7547,42.5395
79.8293,70.3041,26.828,43.345,67.7615,24.6613,44.7355,39.9154,74.7166,85.6192,75.4494,89.5303,48.1558,34.889,78.3253,68.1882,29.584,43.402
78.3601,63.2471,26.9721,43.5509,64.5322,24.5943,44.7259,38.6407,73.2386,85.6122,76.9483,88.237,48.6908,36.1843,76.8528,73.1009,29.68,41.6728
76.3068,64.7667,26.6624,41.65,65.8697,25.7296,47.2618,37.4276,81.1635,81.2567,76.5592,85.4241,47.0461,33.6071,77.9079,67.2332,29.776,38.7935
70.2569,59.2471,22.9763,44.386,67.5528,22.5768,46.7232,38.1882,78.3911,89.8587,75.5657,85.6126,44.79,31.1056,76.1938,69.3084,29.872,41.4379
74.4089,60.5499,26.0282,42.9537,63.937,25.8258,44.2332,40.1439,69.9538,87.9331,73.3258,84.9941,44.7275,31.7752,76.0046,76.3996,30.936,40.5007
70.1397,61.2853,31.9769,39.5309,62.4066,23.074,43.4233,42.1607,76.0958,87.5289,78.5901,85.0262,45.6102,32.0803,71.7323,70.7129,32,41.8452
69.7277,64.6809,30.3676,42.9516,61.1192,20.5451,42.717,40.5575,73.3381,88.7239,76.9738,82.7511,47.8268,35.8874,71.2814,74.5519,33.064,38.7422
74.9994,58.1977,31.3945,41.413,60.5177,24.9651,46.1346,40.3998,75.5143,82.8902,75.2698,86.7828,47.0742,33.7178,68.2876,73.6515,33.6267,42.2133
73.2168,58.7993,31.4975,42.2543,60.0975,23.8983,44.4377,37.3349,76.5343,83.5166,72.2553,97.2193,44.0811,34.0756,70.5941,70.3746,34.1893,43.9168
68.4711,56.9559,30.1596,38.1452,61.1587,26.5536,46.901,38.1289,75.8373,84.9045,75.4041,91.1237,46.1214,37.5835,73.3831,72.9476,34.752,41.0048
67.4596,59.8144,29.5212,41.2334,57.8797,25.043,43.7976,38.2304,71.1477,87.4176,78.1201,94.2834,44.0812,32.0774,76.1981,73.7284,35.6613,39.8895
68.0221,58.1474,33.4415,42.3321,58.9575,21.7877,45.8577,39.1872,68.0449,85.7387,73.7516,91.397,47.008,30.6783,78.5967,71.6495,36.5707,40.4637
71.2089,50.9679,34.3224,41.8225,59.3485,21.7697,44.6621,37.9626,72.8633,88.3619,72.9479,92.2568,47.8695,30.154,75.8499,69.0972,37.48,38.7352
72.693,51.4677,34.0157,41.5097,57.2686,19.2776,42.439,39.6414,67.4857,85.445,75.4,94.9874,43.5108,30.009,79.7033,72.2041,37.704,39.7365
72.9356,54.3751,31.6974,39.0888,60.5251,20.7787,43.7962,39.5494,74.6965,79.2777,72.3102,93.367,46.2393,27.7344,73.5429,73.8753,37.928,39.5989
71.2276,58.0652,34.1155,40.1701,59.6967,18.6549,40.3142,38.1743,68.8896,81.8815,72.5263,88.3105,46.3355,26.2128,81.0345,72.3132,38.152,42.0603
74.4625,50.4773,34.0914,42.0493,62.1299,19.9485,43.4162,37.3869,71.1749,80.9183,71.7504,87.313,44.3552,28.0717,73.532,72.4074,39.016,41.6505
76.9385,49.1048,33.8546,36.5089,63.3512,19.9831,41.8069,36.0423,68.0893,85.3641,71.5397,88.7548,46.7386,27.0685,77.0872,69.9481,39.88,38.1074
70.6307,50.1259,35.536,41.1386,65.8457,18.1386,41.4652,38.5884,70.14,87.7192,73.3323,83.8863,44.2718,27.0626,71.7121,68.5275,40.744,37.3196
68.0658,51.4893,33.3844,39.638,67.3406,23.0794,42.4327,36.5254,72.6227,82.7954,71.7831,88.5879,44.8635,28.8287,74.4413,64.66,39.6987,39.0051
64.562,50.4516,33.8542,39.8852,67.0169,19.8541,42.7335,36.4748,69.8415,88.9936,71.8949,87.0736,49.666,27.4267,73.0405,69.4111,38.6533,41.4659
66.2582,66.7236,34.5759,35.9621,65.5197,19.6731,40.428,36.6532,69.1688,85.645,70.1095,84.7427,49.9042,24.7646,83.1084,65.2244,37.608,39.2872
64.9172,65.3139,33.1972,39.8052,68.8292,20.4093,40.0861,40.5194,71.7438,84.516,69.2201,86.9105,47.1318,21.9216,75.8331,68.8871,37.3093,35.4101
66.6946,63.7558,33.212,35.7009,68.1279,17.7428,37.9792,41.6693,68.7862,86.8091,68.8974,88.6863,51.1725,24.1476,80.1967,61.7331,37.0107,36.2435
71.2408,66.6606,36.1661,42.5438,57.6834,18.8463,37.6749,40.3985,68.151,80.0433,64.9749,94.2272,50.3732,25.5802,80.9032,58.918,36.712,34.0726
73.2476,61.526,32.5058,38.0629,65.6647,16.0363,37.1599,39.8765,69.7203,80.2755,64.4918,92.1171,50.1283,23.3114,75.5567,54.9039,36.8853,36.3108
75.8536,64.0593,34.001,38.4922,63.1568,15.1656,36.9676,38.2501,71.3711,79.2526,66.3446,82.3084,46.3374,22.2053,70.0476,59.0076,37.0587,30.5123
73.6378,59.097,32.4792,32.3902,65.6851,16.7639,35.2714,39.1992,67.6233,80.0871,67.5214,80.7733,45.4181,22.0613,69.4121,54.2878,37.232,34.0624
68.8255,57.647,32.8985,32.6745,62.8056,18.9036,34.3647,38.3124,63.5029,79.4689,67.1557,85.3243,43.0658,22.2036,70.965,54.3724,36.6773,29.3506
72.1757,58.0012,30.859,32.5114,59.4209,19.0773,29.2271,36.9554,60.4988,80.784,66.9337,83.3105,46.3499,21.3094,70.52,52.074,36.1227,27.9035
64.9835,58.1879,31.1071,31.41,59.2145,15.1854,31.6771,39.9245,57.6755,80.7857,67.4351,84.5498,46.589,19.1311,69.956,52.6398,35.568,23.5302
62.7273,56.7279,30.112,27.3855,61.7648,17.4694,31.7621,38.676,58.1074,76.3706,65.2194,87.0978,43.6469,22.4002,69.6787,49.4901,35.9413,24.7621
62.2139,52.7614,31.577,25.263,60.9477,16.5128,30.4828,38.8169,61.8369,81.0218,67.2761,81.7492,42.3274,21.589,69.2398,45.8966,36.3147,23.3019
56.9586,56.7256,28.7034,21.9485,56.3406,19.0121,33.4886,39.5658,61.6593,75.6686,62.379,85.2906,45.5564,22.0803,71.0054,44.8449,36.688,21.0023
56.4651,55.5085,31.2434,23.8124,58.2358,17.7113,29.7171,39.4839,62.4207,84.6814,63.6778,80.3122,44.9404,22.1305,70.6519,44.7363,36.624,22.2737
56.4147,53.9273,29.6674,20.6887,62.3061,19.7091,27.2057,41.1172,58.3922,81.0396,63.9139,85.9621,46.5155,23.6545,73.8016,45.9107,36.56,23.5488
56.3094,58.8968,33.5674,20.8726,57.6933,19.3912,28.5075,41.8414,64.2782,84.3662,66.474,79.7527,47.3674,21.2836,72.6747,42.898,36.496,23.3731
56.449,58.5729,35.1727,21.0242,58.8432,16.5136,26.6517,39.308,60.6434,83.5516,66.5448,82.329,48.3773,24.8929,68.1033,42.4061,36.992,25.3326
58.959,61.2888,34.0253,18.3897,54.3296,15.4873,27.0482,40.3627,61.6564,88.1382,63.3205,82.5182,51.3232,24.9474,64.0803,41.6569,37.488,22.3531
55.0134,65.2398,35.1593,18.6033,53.4789,16.0262,23.2161,39.8945,58.6926,90.5949,65.8088,85.1938,48.9322,24.8839,65.2018,36.6324,37.984,22.4812
57.1388,61.7404,39.2375,16.9029,55.9502,15.8497,25.7408,41.2072,60.6775,83.1452,68.3946,84.2711,48.0036,25.5358,68.3995,35.2989,37.8107,20.9526
58.1883,60.1852,40.2163,17.5533,53.5899,16.1958,25.092,37.324,60.957,88.6764,64.9144,88.3395,49.616,24.2998,67.5432,37.7153,37.6373,21.4335
57.0326,67.3312,40.9708,20.1671,50.8937,18.066,25.3211,35.2292,60.2953,86.2287,68.6544,82.6423,49.0646,23.662,68.7006,38.353,37.464,22.6207
60.4085,63.4771,41.8732,22.7843,51.3406,14.7448,25.3824,37.5874,57.0234,81.8094,62.5918,84.4414,47.9198,24.317,69.983,35.6332,37.464,24.8169
57.7236,59.8293,37.9638,26.9157,49.4332,14.6811,24.9303,35.4762,61.2359,80.31,66.5109,86.8103,47.8591,23.6484,65.2335,32.6816,37.464,25.7925
53.4033,57.281,39.9878,28.3451,50.0438,16.5475,24.6391,32.5367,58.1958,89.3354,62.6427,83.0395,46.156,21.5483,66.7679,32.0761,37.464,25.3906
55.0512,59.1807,41.4592,26.2346,50.5167,15.3062,25.7091,32.2383,53.4005,88.6339,59.564,83.5562,45.2386,21.8341,68.4841,31.5047,37.48,28.0785
50.7392,61.5789,40.2611,28.0601,59.5422,13.7444,26.4157,34.4434,55.788,81.8042,54.6727,81.6295,47.3951,23.2531,67.8731,30.6345,37.496,26.2094
53.7957,64.0512,39.0447,30.7184,59.2598,14.1144,26.4804,34.1641,55.6693,82.4563,51.7116,77.838,47.3886,21.5328,67.5115,32.095,37.512,24.2667
57.353,67.2992,42.0744,29.3186,54.8572,13.4167,23.4721,31.7239,57.468,81.4457,57.5311,74.0765,45.7216,21.4946,67.9289,32.6345,37.392,23.2337
53.8779,62.6216,37.3179,29.3077,58.4463,13.5126,26.6593,33.8666,60.5936,84.5548,58.8604,69.9023,46.8492,21.2365,68.8957,29.7158,37.272,23.7826
47.6862,62.9873,39.5584,30.0355,62.8344,13.3791,26.9937,33.8471,62.7702,82.7575,58.3263,67.6332,45.3673,22.8358,68.2487,28.8236,37.152,24.8679
49.19,64.4347,41.4982,31.8277,61.2289,14.1713,26.4245,35.4102,67.0956,83.0811,60.2363,64.3583,44.4858,23.1099,66.2446,28.0053,37.0347,26.6987
49.0397,65.4043,39.9398,30.6382,58.4432,15.2504,25.5981,38.7735,67.1016,84.6348,60.8216,65.0937,46.9094,24.1252,66.4078,28.7926,36.9173,29.0761
46.308,69.2851,36.7049,31.4682,70.595,14.1654,27.6976,40.119,70.8694,75.9289,56.6631,64.0335,47.8407,29.0774,67.5356,28.2973,36.8,28.0096
46.979,70.468,38.9792,33.4092,65.5515,14.6864,28.3672,39.8071,69.0186,79.502,56.614,63.0031,50.7249,27.5466,67.6413,31.7914,37.456,29.0576
48.5455,67.3946,40.5715,35.2745,61.9182,13.9661,28.2158,40.7191,71.2262,78.9646,57.5428,73.6643,49.0936,25.5187,65.7558,32.3796,38.112,30.9441
51.7619,73.6713,40.3993,34.5936,62.5393,12.508,30.3731,38.2517,78.4644,80.4969,57.4414,69.4417,46.5754,29.0874,63.1711,32.1091,38.768,29.3577
51.2536,69.9226,41.6547,34.8273,65.1781,13.2071,29.8955,35.1378,74.5984,88.9783,57.891,64.2259,47.5389,28.5626,66.6228,30.6304,38.2853,31.9805
51.509,73.7694,38.1127,33.2534,68.487,12.4302,29.7339,34.11,76.6945,84.4826,60.3217,68.5532,46.9767,27.6661,63.9124,32.0368,37.8027,31.9179
54.2154,69.4908,40.6695,33.1272,69.4057,11.1686,31.5188,36.1615,77.9782,86.1116,58.3988,63.6699,49.7758,26.8246,66.6509,29.5241,37.32,31.138
53.0587,68.0324,40.9341,34.2845,67.1714,10.1721,31.7902,33.0895,79.6696,82.9788,58.2623,66.6598,49.1224,28.3665,64.4855,30.3618,37.3973,29.4975
55.9213,68.1266,36.3918,28.9383,68.5751,9.2112,31.4619,33.644,77.6529,80.8358,60.3281,61.9723,50.0485,31.8521,67.0922,29.3811,37.4747,28.6115
53.6064,73.5448,36.1918,24.5298,62.8714,9.5382,33.2338,32.7889,77.9148,81.6911,58.8687,62.9688,48.568,32.2897,65.5533,31.6043,37.552,26.3884
54.6653,68.6789,35.7054,23.7215,66.4223,9.5756,36.0762,35.3261,77.1251,84.4304,59.5693,61.7159,45.732,33.4533,65.5029,31.4517,37.9627,28.6073
60.9937,74.4046,37.3086,23.522,67.023,10.9197,36.9472,34.6299,76.6115,76.5056,58.7549,60.0921,44.9058,33.4454,67.4788,29.4724,38.3733,30.3503
57.7891,71.2605,34.4503,29.1502,63.0296,10.1341,42.1063,35.4294,81.093,85.415,57.123,56.9015,49.2935,31.7507,64.1234,29.2613,38.784,30.6615
58.0558,73.5572,37.042,31.0106,63.4894,10.0187,40.2639,32.0861,78.4347,81.1364,55.0146,60.593,47.6038,33.0678,65.2078,29.0003,39.216,31.3513
54.5765,72.0908,36.4354,34.2423,67.3552,11.1263,40.3452,32.837,75.4876,79.8686,52.9752,59.4039,47.6588,33.1301,66.2678,26.5017,39.648,34.5919
52.6817,75.1871,36.5385,34.6352,64.0577,11.592,44.0625,31.943,76.3135,80.2527,52.1484,58.598,48.5638,30.8905,63.7693,26.6026,40.08,35.0186
56.0962,70.8719,38.0634,38.2272,63.823,12.1706,43.1864,33.5229,78.738,79.3198,55.3977,50.5342,47.9837,32.9078,64.3849,28.093,38.9973,32.2512
53.5843,73.2614,37.7163,35.997,62.3472,11.7712,42.1176,32.1348,77.6057,81.3011,57.9556,56.2708,46.8406,31.7604,60.0139,32.186,37.9147,35.4248
51.8877,69.3283,38.1927,41.9393,62.2235,13.0379,42.9381,32.0371,80.5537,81.9502,58.9504,54.1225,45.7112,31.6932,59.2075,31.8318,36.832,35.4006
59.3583,66.585,37.0878,40.2406,59.4323,13.0685,42.7759,34.9179,78.514,79.8951,60.2449,51.6613,48.2632,31.3753,58.9329,31.5007,36.3333,35.9686
55.9228,68.0394,39.78,37.6765,63.8397,12.2166,39.6185,32.1943,75.1365,87.3091,60.0263,53.3786,48.7513,27.0468,58.0595,30.047,35.8347,39.5959
52.0039,74.0488,41.0709,42.7347,60.2558,11.2417,40.6735,34.2086,75.5774,88.2043,60.0066,51.2404,45.3645,25.6402,57.9408,27.8836,35.336,39.3598
56.5457,69.1239,41.6062,40.9576,60.8401,11.71,33.4554,32.8636,77.3123,84.5963,61.6099,45.4169,48.0096,22.1979,52.1035,28.9384,35.936,39.7221
49.2903,65.2118,40.1402,40.7601,60.0665,11.942,32.1769,33.5759,79.1837,83.9425,60.4709,46.5491,45.8315,21.2147,47.5275,29.9104,36.536,38.7693
48.8179,66.6123,37.9092,41.9761,57.6424,14.2735,29.3944,28.4914,79.2578,85.793,54.5003,44.2433,45.2529,18.5048,44.2762,28.4841,37.136,40.6874
49.2693,65.5734,38.7533,39.5505,53.1715,14.6593,28.2699,24.9561,76.6182,83.9537,59.583,49.8811,45.9938,18.8132,44.039,27.625,37.2187,41.2517
49.9893,68.0235,37.348,41.9849,53.5032,14.8896,24.842,28.8114,75.1416,78.3384,59.8593,50.7514,46.891,16.2128,41.6019,29.6922,37.3013,39.9264
51.0651,62.3899,40.1682,42.0602,47.1641,12.7952,24.2827,31.8524,71.9257,83.2279,59.2499,49.4227,47.0953,19.6879,42.3798,26.1296,37.384,42.7553
48.0861,63.539,39.5543,43.6271,45.7253,12.8567,21.7632,35.0441,73.0882,84.0213,62.5511,52.3758,46.4247,18.9454,42.6208,27.981,37.2693,40.7873
45.1623,68.5108,40.1922,44.6661,53.1873,12.1571,18.3002,34.1885,68.3052,84.1001,57.6249,50.5843,51.4603,18.4329,45.2955,29.2097,37.1547,42.9539
42.9873,64.7268,38.3651,46.7814,47.074,11.5037,18.6265,36.94,71.105,84.2656,65.5656,51.689,51.8967,22.1981,43.5789,28.7787,37.04,43.5886
46.472,66.2386,39.7104,46.2407,50.5292,9.9415,19.6817,34.7824,72.1599,80.0025,63.6635,53.5874,49.7605,22.516,42.7389,29.5517,36.8187,46.806
47.4323,64.4078,38.1957,50.8113,49.9926,12.0256,20.6345,32.5248,74.1546,78.1836,62.45,55.3544,50.6577,20.9627,44.3162,32.0716,36.5973,44.9195
45.6486,65.1838,36.606,47.3871,52.3095,11.8997,23.8901,32.3633,75.3695,84.8216,59.1091,52.638,50.7637,21.519,49.1692,28.3647,36.376,46.7638
48.0403,60.4639,38.3315,49.7789,49.4407,11.3084,25.1434,32.1212,69.4431,79.2906,62.6468,54.0943,49.3276,18.9669,54.2652,27.4087,37.4027,44.6387
45.415,65.611,39.3715,46.3077,48.1451,14.8746,22.1099,32.2207,68.0729,79.6025,57.2039,56.2841,49.4533,17.1699,51.6127,27.0563,38.4293,45.1024
