bus.119.gen,bus.4.gen,bus.6.gen,bus.8.gen,bus.10.gen,bus.12.gen,bus.15.gen,bus.18.gen,bus.19.gen,bus.24.gen,bus.25.gen,bus.26.gen,bus.120.gen,bus.31.gen,bus.32.gen,bus.34.gen,bus.36.gen,bus.40.gen,bus.42.gen,bus.46.gen,bus.49.gen,bus.121.gen,bus.55.gen,bus.56.gen,bus.122.gen,bus.61.gen,bus.62.gen,bus.65.gen,bus.66.gen,bus.69.gen,bus.70.gen,bus.72.gen,bus.73.gen,bus.74.gen,bus.76.gen,bus.77.gen,bus.80.gen,bus.85.gen,bus.87.gen,bus.89.gen,bus.90.gen,bus.91.gen,bus.92.gen,bus.99.gen,bus.100.gen,bus.103.gen,bus.104.gen,bus.105.gen,bus.123.gen,bus.110.gen,bus.111.gen,bus.124.gen,bus.113.gen,bus.116.gen
44.111,44.6293,19.2547,45.3711,28.2917,52.988,24.7562,38.585,36.8781,40.6501,65.1678,54.6576,70.6183,29.9092,14.03,50.7926,0,121.569,0,58.621,7.0256,56.0903,41.5004,80.4175,71.3138,0,48.6868,0,0,33.6567,118.076,55.41,0,0,0,0,22.9096,28,24.0265,41.0965,0,0,50.5209,27.0814,70.0165,33.9254,0,37.7562,49.7909,0,0,0,55.1669,32.0833
46.7445,42.5425,19.9418,45.0683,34.0326,54.0029,23.7688,38.954,36.6926,44.8393,64.8125,56.0268,66.1876,31.4286,13.5873,50.0347,0,121.966,0,59.1854,6.9577,55.7276,39.7467,79.9119,70.4727,0,49.1855,0,0,38.1119,116.427,53.8485,0,0,0,0,22.5976,28,23.7921,40.6383,0,0,50.7142,28.648,69.266,31.0464,0,37.5293,49.7015,0,0,0,55.564,32.738
43.8058,43.8764,19.6876,43.4515,31.7045,56.3007,22.4496,40.9524,37.9598,46.8789,70.1442,57.3833,72.8836,35.4284,15.3855,48.3004,0,115.575,0,58.5994,7.0643,53.7293,39.8096,78.8511,67.9173,0,47.1315,0,0,36.2146,111.875,52.5008,0,0,0,0,21.9326,29.1077,23.1333,40.2043,0,0,47.7489,27.6527,66.2983,31.6034,0,36.6547,45.6495,0,0,0,52.5782,35.0034
44.0325,46.6866,17.7147,43.4672,31.7221,60.5576,21.8136,39.4222,39.7363,41.2489,70.0765,55.3024,75.1264,36.3049,13.391,48.6777,0,122.244,0,57.8093,7.0978,52.6721,40.229,78.0237,68.5729,0,47.9427,0,0,29.444,112.999,52.9254,0,0,0,0,22.7479,30.0075,23.3615,40.772,0,0,47.2274,30.4736,67.0019,33.3731,0,38.4846,46.4737,0,0,0,52.9392,35.7317
44.006,45.0955,18.7198,43.2183,33.5007,57.7769,22.7509,39.0993,37.3934,49.4034,66.8983,55.2838,67.8091,39.4743,13.6875,47.6441,0,120.501,0,64.1402,6.7947,47.0151,39.117,78.2738,67.2044,0,47.0301,0,0,33.9473,111.684,51.5889,0,0,0,0,21.4549,28.6229,23.2286,39.9842,0,0,47.0907,31.1371,66.6074,31.8344,0,37.0976,45.7266,0,0,0,51.3821,37.095
47.3157,44.4418,16.4711,45.4588,37.3178,57.7474,24.2389,40.3429,39.859,46.0064,67.2536,60.4172,5.0843,37.9136,14.8889,51.3175,0,115.193,0,65.8981,6.8818,50.339,41.5272,80.6029,71.7522,0,49.841,0,0,31.6083,119.51,55.2453,0,0,0,0,22.3636,31.3636,24.5217,42.7146,0,0,47.6458,28.3211,70.2875,33.4019,0,39.2067,50.6228,0,0,0,55.7379,37.7782
45.4763,47.7221,17.9679,47.1688,36.832,55.0355,23.7717,41.4697,37.7281,46.4451,14.3284,57.9045,7.5578,40,15.1647,53.3441,0,125.567,0,68.8466,7.8873,51.4415,43.8232,83.2334,75.5037,0,52.0379,0,0,33.3976,123.979,57.3818,0,0,0,0,23.5161,31.212,26.0773,44.3581,0,0,52.2367,31.1577,73.9642,32.2646,0,40.8863,54.0517,0,0,0,57.6628,36.457
45.9779,47.4777,17.2651,46.6392,40.5422,58.8477,25.0919,40.66,40,48.4082,14.1488,59.2286,8.8102,40,17.7157,51.7934,0,120.213,0,72.9298,7.7649,48.1808,44.0077,80.6771,73.5617,0,52.1321,0,0,38.8667,120.6,56.0036,0,0,0,0,24.2763,32.2477,25.2429,43.4357,0,0,50.6198,28.5655,72.7171,31.4262,0,40.7368,54.0671,0,0,0,57.031,38.0932
48.4239,54.8509,15.1156,46.9278,34.012,56.5971,26.9882,41.1301,40,52.2999,14.0614,56.3311,11.4663,38.7695,17.6686,52.2546,0,117.641,0,70.2649,7.9461,48.5122,43.2389,80.5609,72.9339,0,51.7874,0,0,38.3494,122.161,56.3711,0,0,0,0,24.2144,31.1267,25.8052,42.8335,0,0,51.32,30.0466,72.047,32.8636,0,40.2009,54.7553,0,0,0,57.1648,36.9066
51.6021,57.6954,16.5977,46.5257,35.7719,57.6817,22.3318,41.6464,38.9354,52.7181,14.242,59.203,10.6928,40,19.1369,51.7256,0,123.619,0,66.2848,8.0768,47.863,41.8505,79.0761,69.4955,0,50.0645,0,0,39.5567,120.778,56.3151,0,0,0,0,24.5548,31.2174,25.5712,42.6744,0,0,50.7028,29.5039,71.0122,31.3232,0,39.8736,53.9299,0,0,0,56.6836,40.9269
52.2862,60.0148,16.0598,48.1424,38.7636,35.1653,10.1117,40.1888,39.699,53.9774,14.35,36.8428,8.6885,40,17.3515,53.6997,0,117.756,0,67.2526,7.8865,49.6854,43.4123,81.372,72.0252,0,50.4462,0,0,43.9589,125.357,58.7269,0,0,0,0,26.8943,32.802,26.3531,43.6068,0,0,51.4983,29.552,73.614,31.9334,0,41.6392,53.8705,0,0,0,58.5962,36.0899
52.348,58.7398,14.989,47.7417,39.7756,35.3283,11.2042,40.66,40,54.8676,14.0712,35.5393,11.2562,40,16.6841,52.5546,0,119.253,0,70.0657,7.4668,48.5066,43.5208,80.2236,70.7804,0,51.88,0,0,46.3715,123.091,56.6737,0,0,0,0,25.5607,32.482,25.8217,42.2643,0,0,51.8099,32.7007,72.6879,32.8013,0,40.2411,53.0225,0,0,0,58.001,38.264
55.9552,61.8012,15.41,46.0113,39.2868,30.8672,11.4182,41.1811,40,56.8739,14.294,43.5074,12.7364,40,16.0863,51.7223,0,122.971,0,67.0857,6.9493,47.6459,44.013,80.1123,68.6856,0,52.7873,0,0,48.7713,121.566,55.5005,0,0,0,0,25.4644,32.4238,24.932,41.6312,0,0,50.4897,31.2795,72.5247,33.0553,0,39.2084,51.6596,0,0,0,56.0629,38.9805
56.2329,57.291,16.7184,46.3485,41.188,45.2506,12.115,41.2901,40,54.2149,14.1291,43.7272,10.098,40,21.0185,51.975,0,119.287,0,67.2084,7.0851,47.9496,42.9949,79.8216,68.7122,0,51.4492,0,0,44.6754,122.039,55.1402,0,0,0,0,25.2644,31.7599,25.0476,41.0537,0,0,50.1378,29.5657,72.9166,32.015,0,39.3675,53.304,0,0,0,56.479,39.7255
61.4517,60.7421,17.2543,44.8091,37.3237,59.0705,11.3504,41.6984,39.2986,56.2192,14.1213,42.0635,9.778,40,20.6583,49.8599,0,118.222,0,63.7839,6.4772,45.7355,40.2499,77.0864,65.6139,0,48.3113,0,0,48.1991,116.559,53.8395,0,0,0,0,24.4166,30.5872,24.0858,40.6641,0,0,47.1014,33.1296,70.2101,31.7363,0,37.6442,52.036,0,0,0,54.5893,39.2858
64.0371,60.0835,14.8427,43.4734,38.5192,63.0801,10.6182,41.1144,40,59.3935,14.0496,44.1051,11.0069,40,18.174,48.7023,0,120.185,0,66.2612,6.9237,45.056,39.6198,75.474,63.3978,0,47.6179,0,0,46.3244,114.102,52.2551,0,0,0,0,23.7995,30.0197,23.5839,39.2005,0,0,46.1055,32.9746,68.3136,31.32,0,36.7265,51.643,0,0,0,52.7894,39.8384
62.9427,61.7118,15.0459,43.1023,40.605,70.5211,11.0697,40.9691,39.6077,56.2879,14.1959,43.314,11.691,40,19.771,47.7923,0,112.51,0,61.5813,7.3042,44.014,38.8978,73.1758,60.2088,0,47.0439,0,0,47.2274,111.974,50.6705,0,0,0,0,23.6884,29.0797,23.7252,38.475,0,0,46.5902,33.1316,67.3687,28.8202,0,35.931,48.272,0,0,0,51.5813,40.9986
66.6558,57.8407,12.914,42.9807,42.4218,69.3354,11.4358,41.7475,39.1376,58.7938,14.299,44.3957,10.9303,40,21.791,46.6863,0,110.627,0,62.4205,7.7628,43.0118,40.7989,72.0295,58.7629,0,46.903,0,0,46.3391,109.322,51.0492,0,0,0,0,23.2671,29.2585,23.5205,39.7752,0,0,45.584,30.9369,67.8162,29.1746,0,35.6862,47.6054,0,0,0,51.0718,39.2004
69.8242,59.523,12.9336,38.1043,41.4363,65.6841,29.2614,28.7559,37.8106,56.6805,69.2667,61.7433,10.7978,40,25.1606,43.0597,0,103.722,0,62.3008,6.5372,39.78,42.7066,65.1286,50.3701,0,45.3473,0,0,45.4272,100.085,46.4129,0,0,0,0,20.7995,29.0423,21.1264,40.2194,0,0,42.412,32.2266,65.298,28.9198,0,32.035,43.6306,0,0,0,47.3106,39.2191
65.0226,61.0277,12.226,35.9871,40.6138,64.1696,29.4224,29.1171,39.1366,59.6614,71.3544,64,9.5474,40,26.2746,41.6733,0,117.025,0,61.9994,6.4082,39.0154,40.3052,64.0321,49.0359,0,42.4924,0,0,48.3395,96.1089,44.7855,0,0,0,0,19.9828,28,20.5963,37.3708,0,0,40.1621,34.0945,61.8257,28,0,31.5482,44.9286,0,0,0,45.554,39.6333
64.9745,62.5864,15.7114,33.3976,41.3912,62.9574,32.0401,28.4821,37.9362,59.8469,74.9507,63.8653,18.1318,40,26.2059,40.9258,0,117.978,0,57.3352,6.161,37.5722,41.1939,65.8038,47.4203,0,42.7177,0,0,45.7296,95.2465,44.0517,0,0,0,0,19.1816,28,19.687,37.7322,0,0,39.777,31.7388,60.8407,28,0,30.2672,43.0062,0,0,0,44.714,40.819
68.3922,62.5854,13.4166,31.5011,40.9426,57.344,28.276,28.6411,37.3767,59.1687,75.1215,63.566,60.217,40,25.3284,39.9531,0,109.477,0,56.4096,6.244,37.022,38.8463,64.8797,47.0781,0,41.017,0,0,45.9543,92.2998,43.0836,0,0,0,0,19.1125,28,19.6331,36.0022,0,0,39.4542,34.7521,58.1853,28,0,30.0645,43.188,0,0,0,43.5396,38.9874
64.9116,61.2044,14.0212,30.6101,42.6583,56.1976,28.7216,29.4244,39.1405,58.8517,73.8377,64,62.2389,40,25.566,40.4245,0,112.095,0,57.9379,6.2868,37.2914,37.5261,64.2274,47.2328,0,40.9531,0,0,46.8161,93.0087,43.7289,0,0,0,0,19.7153,28,19.1487,35.159,0,0,40.1294,32.5829,56.1783,28,0,30.4847,40.9042,0,0,0,43.9256,42.0115
66.1592,60.9394,14.8054,28.6172,42.6348,63.4972,25.7309,28.8835,36.4207,60.7725,77.7942,64,61.33,40,25.1262,38.5821,0,106.324,0,62.0397,5.9296,35.5718,38.4751,61.7899,44.6772,0,39.8228,0,0,52.8437,89.3327,41.889,0,0,0,0,18.6686,28,18.641,35.1885,0,0,38.4265,32.3572,56,28,0,29.3722,38.2015,0,0,0,41.8602,42.9508
68.1075,62.9358,13.9289,29.261,39.8472,56.018,24.0161,33.8098,37.415,58.8998,75.1097,64,63.6563,40,25.3196,38.3541,0,109.926,0,62.1241,5.9152,35.5516,40.9301,62.5089,44.5917,0,41.0476,0,0,47.3599,89.4374,42.0209,0,0,0,0,18.3415,28,18.9212,35.6667,0,0,39.0818,30.4147,58.6409,28,0,28.9217,40.2627,0,0,0,42.1989,40.6717
67.604,64.3924,14.7593,27.5402,43.6576,56.602,26.3561,43.6212,37.0862,57.8839,74.6808,64,65.2385,40,23.8777,37.1952,0,101.492,0,64.4356,5.5987,34.7258,38.0774,58.8704,42.9253,0,38.959,0,0,46.6532,86.4129,41.013,0,0,0,0,18.5184,28,18.1643,33.2136,0,0,35.9459,31.9047,56,28,0,28.5727,38.523,0,0,0,40.1762,42.4051
66.7383,64.0499,13.5599,28.0118,41.8437,51.4499,24.8229,43.4828,37.8812,59.0038,71.591,63.9046,63.3059,40,25.7191,37.9519,0,101.484,0,66.9611,5.4643,35.4399,39.5737,59.7309,43.6126,0,39.6644,0,0,51.3135,87.5521,40.6196,0,0,0,0,18.5233,28,18.7024,34.3005,0,0,36.976,31.0841,56.598,28,0,28.9376,39.0122,0,0,0,41.4326,41.1684
68.6375,64.6074,10.7959,27.9231,41.5374,54.4377,24.7267,43.5879,36.6632,59.9431,76.0864,64,65.2355,40,28.1651,37.4885,0,108.434,0,68.5757,5.6271,34.7198,38.0534,59.3015,43.3063,0,39.6501,0,0,48.203,86.6286,41.053,0,0,0,0,18.5499,28,18.3545,33.0823,0,0,36.4057,34.5165,57.1233,28,0,28.7014,40.2354,0,0,0,40.7368,40.9652
69.2186,61.3752,15.1048,28.1077,42.3207,55.3123,25.8545,42.4611,38.4299,61.7364,76.7175,64,68.8525,40,27.2375,37.8576,0,101.836,0,63.8045,5.6277,35.3941,36.7414,60.2586,42.2769,0,39.0213,0,0,46.2792,87.7726,40.5817,0,0,0,0,18.0648,28,18.5454,31.7458,0,0,36.6677,30.4982,56,28,0,27.5792,38.3226,0,0,0,41.1936,40.2644
70.0922,65.6841,9.2028,28.1759,41.1713,56.8866,28.0777,42.3894,36.3049,64.9126,77.4841,64,73.1663,40,28.0375,38.1754,0,95.7929,0,63.7878,5.5458,35.2054,35.9141,60.3953,42.6395,0,37.8699,0,0,51.6943,87.4284,41.271,0,0,0,0,18.5246,28,18.2759,32.3317,0,0,36.9631,33.162,56,28,0,27.2296,38.1648,0,0,0,41.53,38.3632
67.7816,63.6729,13.2281,28.6375,38.6341,59.3679,22.4211,43.313,37.8891,69.0449,78.0386,64,76.425,40,25.4325,38.5565,0,91.5932,0,65.9177,5.5598,36.003,34.402,61.0785,42.8326,0,38.1475,0,0,51.763,89.396,41.2393,0,0,0,0,19.0026,28,18.8488,32.639,0,0,37.1568,32.2266,56,28,0,27.5426,38.546,0,0,0,42.1759,41.2656
68.4559,62.2036,12.541,30.643,40.1309,57.5953,26.4562,41.7396,38.529,68.2135,75.3011,64,73.6119,40,22.2818,41.1614,0,96.3133,0,66.7245,6.4457,38.0057,38.0584,63.9588,46.0355,0,40.2709,0,0,49.8333,94.5709,43.9322,0,0,0,0,20.0654,28,20.1588,35.167,0,0,39.2914,31.6426,57.8437,28,0,30.5244,41.137,0,0,0,45.0179,37.892
77.7717,64.2913,9.5434,28.9214,40.4892,63.6464,26.0587,42.1587,36.8555,68.7769,76.9609,64,77.5695,40,25.7358,38.4255,0,88.4312,0,67.7856,5.5414,35.7801,35.4108,59.678,43.1455,0,37.9587,0,0,50.4242,89.3284,41.4999,0,0,0,0,18.8114,28,18.587,33.6327,0,0,37.9422,32.9324,56.0189,28,0,28.5569,38.7849,0,0,0,42.1239,37.9352
73.3607,65.5359,11.637,30.1098,37.8017,56.7787,26.3944,41.454,36.8869,69.04,76.3985,64,73.7317,40,23.5214,40.3971,0,87.2875,0,70.1285,6.1504,37.4493,34.1786,61.9512,45.1995,0,39.7711,0,0,53.4473,93.779,43.7165,0,0,0,0,19.7722,28,19.1965,30.2802,0,0,38.2545,35.7081,56,28,0,29.492,42.9468,0,0,0,43.5737,38.4172
70.3061,58.7133,12.0679,30.9497,40.2978,50.3722,22.1129,43.1148,37.8449,71.4192,73.0181,64,71.8275,40,25.6062,41.2958,0,86.2476,0,66.3221,6.3958,38.276,34.2526,61.5387,46.566,0,40.7529,0,0,54.9304,95.5505,44.9723,0,0,0,0,20.4869,28,20.2804,33.7366,0,0,40.6022,31.146,57.7747,28,0,30.1124,42.0458,0,0,0,45.1829,37.6859
71.0678,61.653,12.8483,29.8533,39.2564,57.0849,24.8465,39.9189,37.0145,69.6622,68.2852,63.8457,76.2248,40,22.96,39.9893,0,82.6786,0,70.3758,6.2688,37.38,32.6393,60.7772,45.2465,0,40.3396,0,0,54.7253,92.276,43.2172,0,0,0,0,19.4849,28,19.5446,39.8946,0,0,39.231,31.6348,56.6957,28,0,28.0451,41.2811,0,0,0,43.5967,38.533
64.5171,61.012,13.497,32.978,41.3264,57.9869,24.6463,42.2834,38.585,69.304,70.0293,64,73.8897,40,25.7839,39.662,0,97.7459,0,69.7565,6.0451,36.8988,32.2922,59.7034,44.627,0,39.1577,0,0,57.7229,92.0197,42.4279,0,0,0,0,19.5092,28,19.2549,37.7596,0,0,38.6612,34.0376,56.097,28,0,28.4395,40.6932,0,0,0,43.3402,38.4289
70.738,55.0679,11.4476,35.4058,38.3475,55.0865,23.279,38.9285,38.8127,69.0782,74.7574,64,74.0752,40,24.1673,39.547,0,97.1894,0,72.8866,5.9775,36.2699,32.512,59.402,42.8898,0,38.7881,0,0,64.521,91.2218,42.2591,0,0,0,0,19.5782,28,19.2108,37.0551,0,0,38.1048,34.7855,56,28,0,28.2366,40.2633,0,0,0,43.0137,35.2311
70.3434,54.5113,13.4676,35.6417,39.2956,53.0891,23.9121,42.2873,36.6749,68.6405,71.5625,64,74.3805,40,24.2085,39.4427,0,111.792,0,72.7168,6.0172,36.0712,32.4074,58.2993,43.4389,0,38.5808,0,0,63.3333,92.0347,42.8178,0,0,0,0,19.7624,28,19.2111,37.7282,0,0,38.5903,31.2716,56,28,0,28.9274,39.7956,0,0,0,42.841,36.8379
68.4177,53.9636,15.6427,33.4878,38.1502,56.4852,24.8377,42.2667,36.6769,72.0317,71.3662,64,77.7226,40,26.3993,38.5935,0,112.316,0,75.5377,5.884,35.2081,30.9962,58.2675,42.2071,0,37.351,0,0,66.7608,91.4355,42.3136,0,0,0,0,19.0644,28,18.7705,35.8851,0,0,38.6867,31.7653,56,28,0,28.0871,37.6467,0,0,0,41.8334,38.4113
67.656,58.4129,15.5553,34.9678,38.5987,52.8731,25.617,43.5918,37.2216,67.1368,71.6754,64,77.8394,40,25.8575,39.0895,0,110.735,0,72.3948,6.2805,35.7569,30.9437,61.1545,43.031,0,39.2906,0,0,65.6988,93.3196,43.3095,0,0,0,0,20.001,28,19.543,36.3338,0,0,39.038,28.6754,56,28,0,29.0053,41.773,0,0,0,42.306,36.9262
67.9956,56.232,12.4124,35.3734,41.3539,54.6075,20.9979,39.7658,37.3041,65.5202,74.9959,64,79.0683,40,29.0867,40.7387,0,105.5,0,70.1805,6.2219,37.5173,32.8046,61.551,44.6773,0,39.7107,0,0,59.2433,95.2611,43.9722,0,0,0,0,20.3832,28,20.1617,37.8505,0,0,39.4885,32.4278,56.5796,28,0,29.2132,42.3889,0,0,0,44.4843,33.7843
68.9654,52.8388,14.4845,34.9521,41.404,59.5927,21.9745,42.4061,37.6476,64.8792,74.67,64,75.2531,40,30.3794,40.9977,0,89.6089,0,70.1255,6.482,37.8623,34.0872,61.4031,44.4985,0,40.0968,0,0,61.2859,93.7605,43.7392,0,0,0,0,19.6911,28,19.5252,39.4412,0,0,40.7725,32.046,56.4358,28,0,28.3258,41.8463,0,0,0,45.1226,39.6696
67.8209,53.9627,17.962,34.3939,37.416,55.2583,20.2372,43.2306,37.5563,69.6603,77.3054,64,78.5736,40,27.5408,40.7543,0,90.4604,0,68.451,6.0641,37.4662,33.5496,61.0526,44.208,0,39.225,0,0,65.9128,92.6016,42.8601,0,0,0,0,19.9025,28,19.8233,37.6998,0,0,38.6813,30.2096,57.1379,28,0,29.2136,39.3434,0,0,0,43.9048,38.9501
73.2576,67.2438,15.9096,34.6792,40.6099,55.9061,20.6396,43.0853,37.0106,68.5551,75.7291,64,75.3708,40,26.9951,40.0689,0,73.4645,0,72.2751,6.5029,36.9278,33.015,61.5976,43.4217,0,39.3834,0,0,61.4547,92.7068,43.2629,0,0,0,0,19.6229,28,19.4657,39.0098,0,0,39.1698,30.2488,56.1373,28,0,28.7794,41.1656,0,0,0,43.9593,38.7862
72.6,63.5267,16.8519,33.3598,40.0239,63.8908,21.469,40.9191,38.0422,64.7958,75.5986,64,77.9788,40,29.5549,38.6749,0,81.6738,0,71.2867,6.1791,35.9964,32.0117,60.3874,42.3215,0,38.6257,0,0,61.9415,90.4618,42.1255,0,0,0,0,18.9758,28,18.9009,37.3901,0,0,37.8111,31.9302,56,28,0,28.0726,38.9804,0,0,0,42.3016,40.3841
69.303,61.1897,17.0551,36.2104,37.3169,57.932,21.7645,41.2528,38.6252,67.1417,75.5141,64,81.6428,40,27.7813,41.7023,0,79.422,0,68.3342,6.2306,38.508,34.0062,65.2235,45.4153,0,41.4931,0,0,61.2535,96.7476,44.4701,0,0,0,0,20.5045,28,20.1654,41.0571,0,0,40.8869,31.4826,58.7072,28,0,30.0683,42.6609,0,0,0,45.7059,40.1692
71.2376,59.5397,14.4953,34.7154,40.9868,60.6538,22.2366,42.4434,36.8143,68.0319,79.4687,64,81.4367,40,27.8843,40.6127,0,78.3184,0,68.5482,6.0803,37.5939,32.599,60.9754,43.9598,0,39.8065,0,0,59.6919,94.2844,43.3681,0,0,0,0,19.9097,28,19.5884,39.9219,0,0,39.4887,32.9186,56,28,0,29.7753,41.3932,0,0,0,43.9633,40.657
73.0466,61.6706,14.614,35.6154,38.9835,52.2646,21.3434,43.0058,38.1727,66.5832,76.8471,64,77.9532,40,28.7147,41.3209,0,74.2358,0,74.1744,6.5805,38.3094,34.1215,60.9104,45.09,0,40.6094,0,0,65.0275,95.5127,44.6633,0,0,0,0,19.9683,28,20.1878,41.4065,0,0,40.8217,29.0975,56.8639,28,0,29.8855,41.9673,0,0,0,45.3935,39.6097
79.4835,63.6945,16.0902,34.1466,38.7411,57.0496,13.82,43.0578,35.3459,69.3266,77.0551,64,84.4088,40,32.4759,40.0166,0,73.3203,0,72.3654,6.2245,36.5898,34.6243,58.8094,43.7468,0,39.6266,0,0,68.8319,93.2264,43.5623,0,0,0,0,19.4361,28,19.3506,38.8575,0,0,39.8925,30.347,56,28,0,29.176,40.045,0,0,0,44.0393,38.5644
